Date,Steps,Distance_km,Active_Energy_kcal,Resting_Heart_Rate_bpm
2017-11-24,4032,2.49,0.0,
2017-11-25,4669,2.68,0.0,
2017-11-26,10963,6.99,0.0,
2017-11-27,6671,4.23,0.0,
2017-11-28,4738,3.05,0.0,
2017-11-29,5378,3.25,0.0,
2017-11-30,6333,3.98,0.0,
2017-12-01,3607,2.2,0.0,
2017-12-02,5853,3.4,0.0,
2017-12-03,940,0.56,0.0,
2017-12-04,6240,3.48,0.0,
2017-12-05,4982,3.0,0.0,
2017-12-06,3780,2.34,0.0,
2017-12-07,6140,3.76,0.0,
2017-12-08,4213,2.4,0.0,
2017-12-09,4980,2.89,0.0,
2017-12-10,2063,1.21,0.0,
2017-12-11,5651,3.47,0.0,
2017-12-12,7448,4.68,0.0,
2017-12-13,5499,3.3,0.0,
2017-12-14,6996,4.38,0.0,
2017-12-15,5299,3.08,0.0,
2017-12-16,6342,3.67,0.0,
2017-12-17,5930,3.4,0.0,
2017-12-18,5977,3.6,0.0,
2017-12-19,1874,1.16,0.0,
2017-12-20,6098,3.68,0.0,
2017-12-21,9375,6.09,0.0,
2017-12-22,2456,1.47,0.0,
2017-12-23,9167,5.19,0.0,
2017-12-24,2120,1.38,0.0,
2017-12-25,2564,1.73,0.0,
2017-12-26,5477,3.31,0.0,
2017-12-27,5971,3.7,0.0,
2017-12-28,5924,3.76,0.0,
2017-12-29,4139,2.77,0.0,
2017-12-30,6853,4.54,0.0,
2017-12-31,3388,1.96,0.0,
2018-01-01,4142,2.81,0.0,
2018-01-02,3425,1.76,0.0,
2018-01-03,498,0.3,0.0,
2018-01-04,5389,3.2,0.0,
2018-01-05,3782,2.31,0.0,
2018-01-06,3612,2.21,0.0,
2018-01-07,1331,0.88,0.0,
2018-01-08,5937,3.76,0.0,
2018-01-09,3930,2.43,0.0,
2018-01-10,2777,1.55,0.0,
2018-01-11,4644,2.67,0.0,
2018-01-12,2289,1.35,0.0,
2018-01-13,87,0.06,0.0,
2018-01-14,964,0.59,0.0,
2018-01-15,8374,5.06,0.0,
2018-01-16,5309,3.08,0.0,
2018-01-17,7805,4.62,0.0,
2018-01-18,5729,3.77,0.0,
2018-01-19,4803,2.89,0.0,
2018-01-20,3103,1.83,0.0,
2018-01-21,1561,0.88,0.0,
2018-01-22,4400,2.63,0.0,
2018-01-23,4037,2.59,0.0,
2018-01-24,3664,2.23,0.0,
2018-01-25,4658,2.86,0.0,
2018-01-26,4595,2.96,0.0,
2018-01-27,1972,1.25,0.0,
2018-01-28,1185,0.69,0.0,
2018-01-29,8285,5.22,0.0,
2018-01-30,4269,2.68,0.0,
2018-01-31,4853,2.94,0.0,
2018-02-01,6092,3.75,0.0,
2018-02-02,3954,2.7,0.0,
2018-02-03,1797,1.04,0.0,
2018-02-04,4381,2.64,0.0,
2018-02-05,5377,3.46,0.0,
2018-02-06,7672,4.92,0.0,
2018-02-07,2591,1.82,0.0,
2018-02-08,7637,4.68,0.0,
2018-02-09,20,0.0,0.0,
2018-02-10,422,0.27,0.0,
2018-02-11,2151,1.25,0.0,
2018-02-12,570,0.32,0.0,
2018-02-13,12603,8.92,0.0,
2018-02-14,18145,12.22,0.0,
2018-02-15,4775,3.51,0.0,
2018-02-16,2510,1.85,0.0,
2018-02-17,2823,1.49,0.0,
2018-02-18,6160,3.43,0.0,
2018-02-19,6351,3.96,0.0,
2018-02-20,3649,2.56,0.0,
2018-02-21,6679,4.07,0.0,
2018-02-22,3947,2.29,0.0,
2018-02-23,6252,3.61,0.0,
2018-02-24,4520,2.69,0.0,
2018-02-25,2946,1.95,0.0,
2018-02-26,7124,4.8,0.0,
2018-02-27,6590,4.48,0.0,
2018-02-28,1165,0.87,0.0,
2018-03-01,4874,3.46,0.0,
2018-03-02,5581,3.87,0.0,
2018-03-03,839,0.59,0.0,
2018-03-04,3966,2.86,0.0,
2018-03-05,7314,5.03,0.0,
2018-03-06,5030,3.29,0.0,
2018-03-07,4583,2.87,0.0,
2018-03-08,5428,3.61,0.0,
2018-03-09,4843,3.25,0.0,
2018-03-10,7792,5.1,0.0,
2018-03-11,4384,2.88,0.0,
2018-03-12,7220,4.72,0.0,
2018-03-13,5970,4.06,0.0,
2018-03-14,4142,2.68,0.0,
2018-03-15,9257,6.09,0.0,
2018-03-16,4763,3.32,0.0,
2018-03-17,1746,1.18,0.0,
2018-03-18,3029,2.07,0.0,
2018-03-19,9227,6.02,0.0,
2018-03-20,7894,5.35,0.0,
2018-03-21,2817,1.95,0.0,
2018-03-22,8069,5.75,0.0,
2018-03-23,5461,3.67,0.0,
2018-03-24,3978,2.61,0.0,
2018-03-25,2855,1.93,0.0,
2018-03-26,579,0.43,0.0,
2018-03-27,979,0.72,0.0,
2018-03-28,1584,1.11,0.0,
2018-03-29,1968,1.45,0.0,
2018-03-30,1821,1.2,0.0,
2018-03-31,4060,2.71,0.0,
2018-04-01,1340,0.92,0.0,
2018-04-02,1918,1.24,0.0,
2018-04-03,1176,0.79,0.0,
2018-04-04,10146,7.23,0.0,
2018-04-05,3054,2.06,0.0,
2018-04-06,8700,6.0,0.0,
2018-04-07,3515,2.35,0.0,
2018-04-08,11155,7.7,0.0,
2018-04-09,7410,4.93,0.0,
2018-04-10,4701,3.1,0.0,
2018-04-11,3939,2.56,0.0,
2018-04-12,6318,4.15,0.0,
2018-04-13,7870,5.08,0.0,
2018-04-14,4723,3.08,0.0,
2018-04-15,452,0.31,0.0,
2018-04-16,5825,3.96,0.0,
2018-04-17,7009,4.65,0.0,
2018-04-18,3930,2.55,0.0,
2018-04-19,5674,3.85,0.0,
2018-04-20,6163,4.14,0.0,
2018-04-21,5969,3.87,0.0,
2018-04-22,5532,4.08,0.0,
2018-04-23,6574,4.21,0.0,
2018-04-24,13822,8.88,0.0,
2018-04-25,9599,6.58,0.0,
2018-04-26,10358,6.87,0.0,
2018-04-27,5149,3.36,0.0,
2018-04-28,4791,3.21,0.0,
2018-04-29,6467,4.09,0.0,
2018-04-30,5235,3.67,0.0,
2018-05-01,3714,2.58,0.0,
2018-05-02,3952,2.62,0.0,
2018-05-03,9495,6.45,0.0,
2018-05-04,4966,3.34,0.0,
2018-05-05,6507,4.3,0.0,
2018-05-06,1753,1.17,0.0,
2018-05-07,6025,3.82,0.0,
2018-05-08,1172,0.78,0.0,
2018-05-09,2796,2.03,0.0,
2018-05-10,2088,1.42,0.0,
2018-05-11,2707,1.92,0.0,
2018-05-12,4250,2.67,0.0,
2018-05-13,2952,2.06,0.0,
2018-05-14,7208,4.75,0.0,
2018-05-15,5235,3.61,0.0,
2018-05-16,3508,2.4,0.0,
2018-05-17,6846,4.62,0.0,
2018-05-18,5075,3.51,0.0,
2018-05-19,5915,3.76,0.0,
2018-05-20,2181,1.44,0.0,
2018-05-21,2375,1.66,0.0,
2018-05-22,1418,0.89,0.0,
2018-05-23,5755,3.66,0.0,
2018-05-24,6707,4.2,0.0,
2018-05-25,3671,2.32,0.0,
2018-05-26,2964,1.94,0.0,
2018-05-27,3163,2.14,0.0,
2018-05-28,3184,2.12,0.0,
2018-05-29,1884,1.41,0.0,
2018-05-30,3211,2.2,0.0,
2018-05-31,1384,1.0,0.0,
2018-06-01,4764,3.35,0.0,
2018-06-02,4806,3.18,0.0,
2018-06-03,1585,1.12,0.0,
2018-06-04,781,0.53,0.0,
2018-06-05,2098,1.53,0.0,
2018-06-06,2094,1.49,0.0,
2018-06-07,3349,2.39,0.0,
2018-06-08,3429,2.41,0.0,
2018-06-09,3004,2.03,0.0,
2018-06-10,4613,2.99,0.0,
2018-06-11,1717,1.26,0.0,
2018-06-12,1006,0.75,0.0,
2018-06-13,1717,1.18,0.0,
2018-06-14,2222,1.54,0.0,
2018-06-15,2425,1.7,0.0,
2018-06-16,4039,2.66,0.0,
2018-06-17,4340,2.68,0.0,
2018-06-18,2302,1.55,0.0,
2018-06-19,1562,1.12,0.0,
2018-06-20,2889,1.94,0.0,
2018-06-21,2415,1.57,0.0,
2018-06-22,888,0.65,0.0,
2018-06-23,6946,4.55,0.0,
2018-06-24,2077,1.46,0.0,
2018-06-25,721,0.49,0.0,
2018-06-26,734,0.52,0.0,
2018-06-27,1861,1.25,0.0,
2018-06-28,1925,1.28,0.0,
2018-06-29,2734,1.88,0.0,
2018-06-30,9570,6.55,0.0,
2018-07-01,1363,0.94,0.0,
2018-07-02,1148,0.79,0.0,
2018-07-03,2293,1.61,0.0,
2018-07-04,1022,0.71,0.0,
2018-07-05,1206,0.81,0.0,
2018-07-06,6651,4.22,0.0,
2018-07-07,8253,5.53,0.0,
2018-07-08,5103,3.16,0.0,
2018-07-09,2820,1.93,0.0,
2018-07-10,2290,1.64,0.0,
2018-07-11,2421,1.63,0.0,
2018-07-12,837,0.58,0.0,
2018-07-13,5099,3.31,0.0,
2018-07-14,7411,4.7,0.0,
2018-07-15,8134,5.28,0.0,
2018-07-16,17906,11.04,0.0,
2018-07-17,14499,9.91,0.0,
2018-07-18,19665,11.91,0.0,
2018-07-19,12225,7.94,0.0,
2018-07-20,16618,10.94,0.0,
2018-07-21,18765,11.77,0.0,
2018-07-22,17524,10.7,0.0,
2018-07-23,13411,8.84,0.0,
2018-07-24,12278,8.01,0.0,
2018-07-25,18138,11.83,0.0,
2018-07-26,11955,7.42,0.0,
2018-07-27,10855,7.38,0.0,
2018-07-28,17686,11.81,0.0,
2018-07-29,8116,5.1,0.0,
2018-07-30,17649,12.63,0.0,
2018-07-31,10706,7.21,0.0,
2018-08-01,11780,7.23,0.0,
2018-08-02,10211,7.2,0.0,
2018-08-03,12754,8.74,0.0,
2018-08-04,19646,13.72,0.0,
2018-08-05,13611,9.98,0.0,
2018-08-06,13040,8.87,0.0,
2018-08-07,6977,4.62,0.0,
2018-08-08,17687,11.95,0.0,
2018-08-09,7581,5.16,0.0,
2018-08-10,11247,7.73,0.0,
2018-08-11,18178,13.45,0.0,
2018-08-12,12091,7.56,0.0,
2018-08-13,14012,8.66,0.0,
2018-08-14,12872,7.79,0.0,
2018-08-15,17695,11.21,0.0,
2018-08-16,5609,3.61,0.0,
2018-08-17,12180,7.81,0.0,
2018-08-18,9728,6.13,0.0,
2018-08-19,7211,4.55,0.0,
